Date,Shift,Area,Machine,Operator,%Availability,Run Time,Slow Speed %,Slow Speed (Mins),Down Time %,Down Time(mins),Calculated Target Kg,Actual Kg,Target %,Total Shift Time,Product code,Calculated kg,Week,Month
08-10-2020,C,wd,ZING 11,Dinesh M,72,413,18,365,28,392,3450,1267,36.72,805,ZING,2941,41 week,10
08-10-2020,C,wd,ZING 12,Chellaperumal,18,70,33,115,82,450,3450,3004,87.07,520,ZING,878,41 week,10
08-10-2020,C,wd,ZING 8,Pradeep M,91,219,26,202,9,374,3450,2272,65.86,593,ZING,1602,41 week,10
08-10-2020,C,wd,ZING 6,Pradeep M,72,86,23,210,28,250,3450,2619,75.91,336,ZING,148,41 week,10
08-10-2020,C,wd,ZING 5,Ramakrishnan,8,36,6,8,92,116,3450,687,19.91,152,ZING,2066,41 week,10
08-10-2020,C,wd,ZING 4,Ramakrishnan,42,258,7,387,58,176,3450,3399,98.52,434,ZING,951,41 week,10
08-10-2020,C,wd,ZING 3,Ramakrishnan,85,54,17,20,15,360,3450,715,20.72,414,ZING,1061,41 week,10
08-10-2020,C,wd,ZING 2,Chellaperumal,19,390,1,286,81,10,3450,915,26.52,400,ZING,249,41 week,10
09-10-2020,A,wd,ZING 1,Bakkiyaraj.K,86,169,16,374,14,91,3450,374,10.84,260,ZING,2386,41 week,10
09-10-2020,A,wd,ZING 10,Jayaprakash.M,79,214,6,196,21,98,3450,1975,57.25,312,ZING,2913,41 week,10
09-10-2020,A,wd,ZING 9,Kumarasami P,85,119,36,360,15,38,3450,927,26.87,157,ZING,1518,41 week,10
09-10-2020,A,wd,ZING 11,Jayaprakash.M,81,260,38,127,19,153,3450,3028,87.77,413,ZING,2722,41 week,10
09-10-2020,A,wd,ZING 12,Chellaperumal,100,427,36,292,0,317,3450,440,12.75,744,ZING,1189,41 week,10
09-10-2020,A,wd,ZING 8,Kumarasami P,8,475,15,95,92,102,3450,1541,44.67,577,ZING,1659,41 week,10
09-10-2020,A,wd,ZING 6,Kumarasami P,38,222,0,480,62,249,3450,1659,48.09,471,ZING,877,41 week,10
09-10-2020,A,wd,ZING 5,Rooban Ismavel,47,211,23,42,53,197,3450,854,24.75,408,ZING,233,41 week,10
09-10-2020,A,wd,ZING 4,Ramakrishnan,51,410,8,250,49,97,3450,5,0.14,507,ZING,2999,41 week,10
09-10-2020,A,wd,ZING 3,Rajesh A,60,146,14,331,40,71,3450,614,17.8,217,ZING,298,41 week,10
